timestamp,nf_name,failure_type,failure_injected,failure_signal,exit_code,restart_policy,restart_count,pre_failure_status,post_failure_status,recovery_time_sec,connectivity_status,packet_loss_percent,avg_rtt_ms,resilience_status
2026-08-29 16:31:37,SMF,SIGKILL,Yes,9,137,always,0,running,running,,PASS,0,15.803,PASS
2026-08-29 16:31:37,SMF,NONE,No,0,0,always,0,running,running,0,PASS,0,17.379,PASS
2026-08-29 16:41:32,SMF,SIGKILL,Yes,9,137,always,0,running,running,5.021,PASS,5,22.191,PASS
2026-08-29 16:44:19,SMF,SIGKILL,Yes,9,0,always,0,running,running,0.096,PASS,0,8.647,PASS
2026-08-29 16:46:55,SMF,SIGKILL,Yes,9,137,always,0,running,running,0.102,PASS,5,12.861,PASS
2026-08-29 16:50:28,SMF,SIGKILL,Yes,9,137,always,0,running,running,0.095,PASS,0,14.308,PASS
2026-08-29 16:51:02,SMF,SIGKILL,Yes,9,137,always,0,running,running,0.084,PASS,0,20.923,PASS
2026-08-29 16:51:37,SMF,SIGKILL,Yes,9,137,always,0,running,running,0.085,PASS,0,16.624,PASS
2026-08-29 16:52:03,SMF,SIGKILL,Yes,9,137,always,0,running,running,0.085,PASS,0,17.276,PASS
2026-08-29 17:02:09,SMF,SIGTERM,Yes,15,143,always,1,running,running,0.501,PASS,0,14.420,PASS
2026-08-29 17:03:02,SMF,SIGTERM,Yes,15,143,always,2,running,running,0.572,PASS,0,11.204,PASS
2026-08-29 17:03:27,SMF,SIGTERM,Yes,15,143,always,3,running,running,0.498,PASS,0,14.006,PASS
2026-08-29 17:03:52,SMF,SIGTERM,Yes,15,143,always,4,running,running,0.611,PASS,0,13.482,PASS
2026-08-29 17:04:17,SMF,SIGTERM,Yes,15,143,always,5,running,running,0.491,PASS,0,11.104,PASS
2026-08-29 17:04:47,SMF,SIGTERM,Yes,15,143,always,6,running,running,0.514,PASS,0,15.831,PASS
2026-08-29 17:14:47,SMF,SIGINT,Yes,2,130,always,7,running,running,0.509,PASS,0,10.919,PASS
2026-08-29 17:15:40,SMF,SIGINT,Yes,2,130,always,8,running,running,0.547,PASS,0,13.414,PASS
2026-08-29 17:16:09,SMF,SIGINT,Yes,2,130,always,9,running,running,0.458,PASS,0,15.398,PASS
2026-08-29 17:16:35,SMF,SIGINT,Yes,2,130,always,10,running,running,0.498,PASS,0,9.455,PASS
2026-08-29 17:17:00,SMF,SIGINT,Yes,2,130,always,11,running,running,0.493,PASS,0,10.015,PASS
2026-08-29 17:27:30,SMF,SIGQUIT,Yes,3,131,always,11,running,running,0.100,PASS,0,10.266,PASS
2026-08-29 17:28:18,SMF,SIGQUIT,Yes,3,131,always,11,running,running,0.115,PASS,0,16.248,PASS
2026-08-29 17:29:31,SMF,SIGQUIT,Yes,3,131,always,11,running,running,0.107,PASS,0,9.016,PASS
2026-08-29 17:29:55,SMF,SIGQUIT,Yes,3,131,always,11,running,running,0.097,PASS,0,11.717,PASS
2026-08-29 17:30:19,SMF,SIGQUIT,Yes,3,131,always,11,running,running,0.089,PASS,0,10.111,PASS
2026-08-29 17:31:07,SMF,SIGQUIT,Yes,3,131,always,11,running,running,0.087,PASS,0,12.697,PASS
2026-08-29 17:31:33,SMF,SIGQUIT,Yes,3,131,always,11,running,running,0.109,PASS,0,11.464,PASS
2026-08-29 17:31:57,SMF,SIGQUIT,Yes,3,131,always,11,running,running,0.081,PASS,0,13.362,PASS
2026-08-29 17:57:00,SMF,SIGTERM,Yes,15,143,always,12,running,running,0.531,PASS,0,14.259,PASS
2026-08-29 17:57:27,SMF,SIGTERM,Yes,15,143,always,13,running,running,0.490,PASS,0,11.677,PASS
2026-08-29 17:57:52,SMF,SIGTERM,Yes,15,143,always,14,running,running,0.452,PASS,0,9.161,PASS
2026-08-29 17:58:18,SMF,SIGTERM,Yes,15,143,always,15,running,running,0.512,PASS,0,11.652,PASS
2026-08-29 17:59:28,SMF,SIGTERM,Yes,15,143,always,16,running,running,0.479,PASS,0,20.240,PASS
2026-08-29 17:59:52,SMF,SIGTERM,Yes,15,143,always,17,running,running,0.431,PASS,0,145.107,PASS
2026-08-29 18:00:19,SMF,SIGTERM,Yes,15,143,always,18,running,running,0.556,PASS,0,27.133,PASS
2026-08-29 18:01:31,SMF,SIGTERM,Yes,15,143,always,19,running,running,0.482,PASS,0,18.581,PASS
2026-08-29 18:01:56,SMF,SIGTERM,Yes,15,143,always,20,running,running,0.500,PASS,0,92.682,PASS
2026-08-29 18:02:20,SMF,SIGTERM,Yes,15,143,always,21,running,running,0.629,PASS,0,15.481,PASS
2026-08-29 18:03:16,SMF,SIGTERM,Yes,15,143,always,22,running,running,0.440,PASS,0,16.122,PASS
2026-08-29 18:04:02,SMF,SIGTERM,Yes,15,143,always,23,running,running,0.560,PASS,0,26.253,PASS
2026-08-29 18:04:28,SMF,SIGTERM,Yes,15,143,always,24,running,running,0.469,PASS,0,11.265,PASS
2026-08-29 18:06:06,SMF,SIGTERM,Yes,15,143,always,25,running,running,0.525,PASS,0,21.503,PASS
2026-08-29 18:06:33,SMF,SIGTERM,Yes,15,143,always,26,running,running,0.488,PASS,0,10.024,PASS
2026-08-29 18:07:11,SMF,SIGTERM,Yes,15,143,always,27,running,running,0.515,PASS,0,9.675,PASS
2026-08-29 18:07:52,SMF,SIGTERM,Yes,15,143,always,28,running,running,0.573,PASS,0,40.839,PASS
2026-08-29 18:10:54,SMF,SIGKILL,Yes,9,137,always,28,running,running,0.116,PASS,0,29.909,PASS
2026-08-29 18:11:42,SMF,SIGKILL,Yes,9,137,always,28,running,running,0.096,PASS,0,12.472,PASS
2026-08-29 18:12:36,SMF,SIGKILL,Yes,9,137,always,28,running,running,0.110,PASS,0,21.958,PASS
2026-08-29 18:13:04,SMF,SIGKILL,Yes,9,137,always,28,running,running,0.100,PASS,0,33.163,PASS
2026-08-29 18:13:28,SMF,SIGKILL,Yes,9,137,always,28,running,running,0.101,PASS,0,14.999,PASS
2026-08-29 18:13:52,SMF,SIGKILL,Yes,9,137,always,28,running,running,0.097,PASS,0,23.662,PASS
2026-08-29 18:14:21,SMF,SIGKILL,Yes,9,137,always,28,running,running,0.120,PASS,0,27.471,PASS
2026-08-29 18:16:20,SMF,SIGINT,Yes,2,130,always,29,running,running,0.576,PASS,0,15.615,PASS
2026-08-29 18:17:23,SMF,SIGINT,Yes,2,130,always,30,running,running,0.520,PASS,0,13.933,PASS
2026-08-29 18:17:49,SMF,SIGINT,Yes,2,130,always,31,running,running,0.531,PASS,0,23.341,PASS
2026-08-29 18:18:19,SMF,SIGINT,Yes,2,130,always,32,running,running,0.457,PASS,0,43.366,PASS
2026-08-29 18:18:47,SMF,SIGINT,Yes,2,130,always,33,running,running,0.482,PASS,0,113.807,PASS
2026-08-29 18:19:34,SMF,SIGINT,Yes,2,130,always,34,running,running,0.570,PASS,0,31.259,PASS
2026-08-29 18:19:56,SMF,SIGINT,Yes,2,130,always,35,running,running,0.489,PASS,0,23.913,PASS
2026-08-29 18:20:42,SMF,SIGINT,Yes,2,130,always,36,running,running,0.502,PASS,0,51.004,PASS
2026-08-29 18:21:12,SMF,SIGINT,Yes,2,130,always,37,running,running,0.584,PASS,0,21.651,PASS
2026-08-29 18:21:47,SMF,SIGINT,Yes,2,130,always,38,running,running,0.510,PASS,0,37.984,PASS
2026-08-29 18:23:54,SMF,SIGQUIT,Yes,3,131,always,38,running,running,0.098,PASS,0,20.445,PASS
2026-08-29 18:24:32,SMF,SIGQUIT,Yes,3,131,always,38,running,running,0.102,PASS,0,68.662,PASS
2026-08-29 18:24:55,SMF,SIGQUIT,Yes,3,131,always,38,running,running,0.098,PASS,0,75.575,PASS
2026-08-29 18:25:20,SMF,SIGQUIT,Yes,3,131,always,38,running,running,0.110,PASS,0,32.558,PASS
2026-08-29 18:25:42,SMF,SIGQUIT,Yes,3,131,always,38,running,running,0.094,PASS,0,28.921,PASS
2026-08-29 18:26:03,SMF,SIGQUIT,Yes,3,131,always,38,running,running,0.104,PASS,0,26.386,PASS
2026-08-29 18:26:25,SMF,SIGQUIT,Yes,3,131,always,38,running,running,0.110,PASS,0,12.471,PASS
