failure_signal,exit_code,restart_count,recovery_time_sec,packet_loss_percent,avg_rtt_ms,resilience_status,nf_name_SMF,failure_type_NONE,failure_type_SIGINT,failure_type_SIGKILL,failure_type_SIGQUIT,failure_type_SIGTERM,failure_injected_No,failure_injected_Yes,restart_policy_always,pre_failure_status_running,post_failure_status_running,connectivity_status_PASS
0,0,0,0.0,0,17.379,1,1,1,0,0,0,0,1,0,1,1,1,1
9,137,0,5.021,5,22.191,1,1,0,0,1,0,0,0,1,1,1,1,1
9,0,0,0.096,0,8.647,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,0,0.102,5,12.861,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,0,0.095,0,14.308,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,0,0.084,0,20.923,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,0,0.085,0,16.624,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,0,0.085,0,17.276,1,1,0,0,1,0,0,0,1,1,1,1,1
15,143,1,0.501,0,14.42,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,2,0.572,0,11.204,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,3,0.498,0,14.006,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,4,0.611,0,13.482,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,5,0.491,0,11.104,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,6,0.514,0,15.831,1,1,0,0,0,0,1,0,1,1,1,1,1
2,130,7,0.509,0,10.919,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,8,0.547,0,13.414,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,9,0.458,0,15.398,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,10,0.498,0,9.455,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,11,0.493,0,10.015,1,1,0,1,0,0,0,0,1,1,1,1,1
3,131,11,0.1,0,10.266,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,11,0.115,0,16.248,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,11,0.107,0,9.016,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,11,0.097,0,11.717,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,11,0.089,0,10.111,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,11,0.087,0,12.697,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,11,0.109,0,11.464,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,11,0.081,0,13.362,1,1,0,0,0,1,0,0,1,1,1,1,1
15,143,12,0.531,0,14.259,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,13,0.49,0,11.677,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,14,0.452,0,9.161,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,15,0.512,0,11.652,1,1,0,0,0,0,1,0,1,1,1,1,1
